comment_id;issue_id;author_id;count;text_short
11779;669666;1;28;[https://www.youtube.com/watch?v=tuhOdtsvoNY|https://www.youtube.com/watch?v=tuhOdtsvoNY]
10601;669670;1;16;OK [~accountid:557058:3f7ab89a-8969-4547-90df-53b125e262f7] thank you for the update and the message slack.
76101;670930;2;33;"I encountered a problem with access to `/users/:id/emails` endpoint.
"
76102;670930;2;49;"I have learned that `users/:id/emails` endpoint available only for self-managed Gitlab instances.
"
76213;670930;2;22;"We have decided with Andrew to set member's email manually 'cause currently; we have to show up to our main graph."
75770;670934;2;20;I have read the neo4j documentation and also I was able to get all users by using the MERGE clause.
75841;670934;2;22;"I learned how relations work in the cypher language. And I added relationships for:
"
75842;670934;2;9;I'm working on adding replies to existing messages.
69363;675981;94;39;Submitted by MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/73]
69736;675981;54;18;"Work on the task was stopped due to the freezing of the project on January 21; 2020 (at the direction of Alla Klimenko)"
72839;675981;54;7;Task closed due to project transfer
69238;675992;94;65;Submitted by MR - [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/71]
69308;675992;94;13;MR accepted [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/71]
69224;675993;94;24;"Fixed by adding a check for null; the logic of calling the method was not built correctly."
69309;675993;94;12;MR accepted [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/71]
69246;675996;94;30;Added a sound notification when receiving a specified order. Chose a default sound when assigning an order [^assign_order.mp3]
69314;675996;94;7;Developed in the comments indicated a link to the code
69218;676002;94;27;Added a notification display when the application is minimized. I display the timer and information about the order. Added accept and reject order buttons.
69316;676002;94;7;Developed in the comments indicated a link to the code
69291;676004;94;36;"Added driver status change. Now when you turn off all windows or clear an app from the Recent Apps tab. This will help the bekenshiks; according to Astashov."
69313;676004;94;7;Developed in the comments indicated a link to the code
69161;676009;94;39;Submitted by MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/70
69142;676012;94;36;The crash occurs when glide uses a context that has already been destroyed.
69310;676012;94;12;MR accepted [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/69]
69131;676014;94;32;Removed New Year's decoration returned the old icons.
69312;676014;94;13;MR accepted [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/70]
69132;676016;94;28;Added new icons for the new taxi kol taxi:
69114;676020;94;41;Created a new mail ([ koltaxi312@gmail.com |mailto: koltaxi312@gmail.com ] password can be obtained from Eldar mobile operator) connected it to the firebase created a new project in it kol taxi connected it to the application.
69113;676022;94;20;Added a new build connected to a new backend
69094;676023;94;41;Submitted by MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/67]
69133;676023;94;16;MR brought [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/67] code to dev
69104;676024;94;64;Submitted by MR [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/68]
69134;676024;94;16;MR brought [https://gitlab.com/TaxiNamba/taxi-driver-android-new/merge_requests/68] code to dev
69613;676033;54;15;Released the application in the store
68966;676037;291;15; 
69005;676039;82;16;Notifications will be sent to Email taxinamba@gmail.com
69008;676039;82;1043;*Purchasing certificates*
68935;676041;82;264;"If the sip widget has stopped registering in the control room (there is no ""Registered"" inscription)"
69361;676042;112;12;Communication with Artur and the backup removal and copying team.
72812;676042;54;7;Task closed due to project transfer
68885;676047;54;14;Aliya asked me to create a task
69065;676047;94;62;Submitted by MR [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/68]
69136;676047;94;17;MR accepted [https://gitlab.com/TaxiNamba/taxi-booking-app-android-new/merge_requests/68] code in master-e
68872;676052;207;7;https://github.com/olivere/elastic/wiki/QueryDSL
69728;676053;1;89;Started fixing errors by sentry
72824;676053;54;7;Task closed due to project transfer
69609;676058;1;13;"When the test driver was fired; he noticed strange statistics on rejected orders."
68848;676060;291;37;"Communication with Artur; wrote to the doc; it was decided to set up backups with coltaxi according to the old scheme; and then create a separate task to remake the mechanism for collecting backups on the taxi backup server."
68819;676062;291;592;"Backup server script with corrected checksum calculation and folder structure; added removal of old calls."
68831;676062;291;623;
68697;676067;291;52; 
119035;679108;1;45;"[~saran] This is seems not to be the problem with styles or some text alignment.
"
119038;679108;1;49;"There is a missing part of the text as I circle (please see the image). I saw that the text put in the admin panel is correct.
"
119068;679108;1;7;[~r.krasnov] Please see the comment above
119081;679108;1;14;[~saran] https://magento-staging.edumall.co.th/digital-marketing/expertgoogleadwordstechnics Please check it now
119093;679108;1;5;"Looks good now.
"
119152;679120;1;4;Looks good[~r.krasnov]
119103;679141;1;14;[~saran] Hello! Please check this task on stage https://magento-staging.edumall.co.th/
119104;679141;1;8;This part is missing. [~r.krasnov]!IMG_6415.jpg!
119144;679141;1;13;[~saran] I will fix it here https://jira.topica.vn/browse/ETBA-126
119163;679141;1;25;"[~saran] [~kirill] Icons are not missing; there are no icons in categories. So I created checker to remove img tag to not show broken icons."
119177;679141;1;5;"[~r.krasnov]
"
119218;679153;1;12;[~saran] Hello! Please check this here https://magento-staging.edumall.co.th/
119231;679153;1;4;Looks good [~r.krasnov]
119359;679163;1;8;Done fixing. We can double check it.
119386;679163;1;2;looks good
119221;679176;1;12;"[~saran] Please check this task here https://magento-staging.edumall.co.th/
"
119232;679176;1;16;[~r.krasnov] Is it possible to make all the text (course name) readable in one page?
119275;679176;1;11;[~saran] Did it. Please check https://magento-staging.edumall.co.th/
119279;679176;1;18;"[~r.krasnov] The text looks good now but some part is still missing (see image)
"
119438;679176;1;12;[~saran] Please check it out here https://magento-staging.edumall.co.th/
119450;679176;1;4;[~r.krasnov]
119196;679189;1;10;[~saran] check this here https://magento-staging.edumall.co.th/
119201;679189;1;4;Looks good [~r.krasnov]
119046;679196;1;31;"[~saran] I have edited the markup. Now we have 2 columns because with 3 columns the text doesn't fit it at all.
"
119050;679196;1;70;"[~r.krasnov]
"
119079;679196;1;17;[~saran] I think in the future it would be better to improve the design for mobile version
119118;679196;1;2;well noted
119032;679198;1;56;"[~saran] Hello! Please check this task here https://magento-staging.edumall.co.th/ on our stage.
"
119040;679198;1;17;"[~r.krasnov] Thank you very much.
"
119042;679198;1;16;So you guy will deploy in [www.edumall.co.th|http://www.edumall.co.th/] right
119033;679204;1;12;[~saran] Hello! Please check it here https://magento-staging.edumall.co.th/
119067;679204;1;5;Looks good now [~r.krasnov]
118989;679210;1;33;[~saran] Could you pelase tell me where i can switch on the instagram block and blue block on the right side in admin. Because i don't see this on my local machine
118990;679210;1;17;I believe it is the code from Insider. [~jakkaphan] Could you please provide some information about this?
119031;679210;1;27;"[~r.krasnov] Yes there is the code with Insider team. I was under the code ""<script async
"
119184;679210;1;6;[~r.krasnov] Looks good on Staging.
