project_id;Id_razn;mean_words_comment;count_comments;id;assignee_id;creator_id;overall_worklogs;summary_to_eng;Year;Month;Day;Hour;DayOfWeek;Mesto_in_project;Text_Summa
5;0;0;0;819952;93;93;1800;UI tests commissioned by Dobro KG;2019;10;1;5;2;0;UI tests commissioned by Dobro KG
5;0;4;1;819949;93;93;7200;"UI tests of the ""Profile"" section";2019;10;1;5;2;0.0192307692307692;"UI tests of the ""Profile"" section Trusted and accepted MR"
5;0;0;0;819947;93;93;14400;"UI tests of the section ""Personal account""";2019;10;1;6;2;0.0384615384615385;"UI tests of the section ""Personal account"""
5;0;0;0;819943;93;93;900;"UI tests of the ""News"" section";2019;10;1;6;2;0.0769230769230769;"UI tests of the ""News"" section"
5;0;2;1;819941;93;93;900;"UI tests of the ""Zones of discounts and surcharges"" section";2019;10;1;6;2;0.0961538461538462;"UI tests of the ""Zones of discounts and surcharges"" section Took mR"
5;0;2;1;819938;93;93;900;"UI tests of the ""Chat with support"" section";2019;10;1;6;2;0.115384615384615;"UI tests of the ""Chat with support"" section Accepted MR"
5;0;0;0;819935;93;93;4500;"UI tests of the ""Help"" section";2019;10;1;6;2;0.134615384615385;"UI tests of the ""Help"" section"
5;475;16;2;819933;207;1;7800;Make a division by mobile operators;2019;10;1;6;2;0.153846153846154;Make a division by mobile operators Added the ability to send to the required operator according to the number prefix. Commit: [https://gitlab.com/TaxiNamba/taxi-sms-go/tree/NT-10686__Mobile_Ops]The code is in the repo. A commit link is not a commit link. Mission accomplished
5;0;0;0;819931;93;93;3600;"UI tests of the ""Application tour"" section";2019;10;1;6;2;0.173076923076923;"UI tests of the ""Application tour"" section"
5;0;0;0;819927;93;93;600;"UI tests of the sections ""About the system"" and ""Tell friends""";2019;10;1;6;2;0.211538461538462;"UI tests of the sections ""About the system"" and ""Tell friends"""
5;17;30;2;819924;264;207;17580;Doesn't work with cdr_calc_durations;2019;10;1;8;2;0.230769230769231;"Doesn't work with cdr_calc_durations [~mursidinovz] Regarding sentry; read the doc how to set up error logging for sentry; it seems to be configured in a special wayThe error turned out not to be in the code; but in the wrong paths to tasks in Celery. The mistake was that they moved the task to another location; but forgot to change the path in the admin panel. With Sanya; they changed the path to the task and everything worked without errors."
5;0;0;0;819921;94;94;22500;Fix crash addons (NegativeArraySizeException);2019;10;1;11;2;0.25;Fix crash addons (NegativeArraySizeException)
5;0;8;1;819919;1;1;5400;Make a mutex to change the balance of the driver;2019;10;1;15;2;0.269230769230769;Make a mutex to change the balance of the driver https://gitlab.com/TaxiNamba/taxi-dashboard/merge_requests/585
5;15;16.5;2;819917;8;54;5400;Build driver app with modified version id (0.4.29);2019;10;2;2;3;0.288461538461538;"Build driver app with modified version id (0.4.29) In order to build an APK build for drivers who work in other services;The prila was assembled and tested; handed over to the transport department - employee Yntyzar"
5;681;40;6;819912;207;8;4200;Feedback from Chuck;2019;10;2;12;3;0.307692307692308;"Feedback from Chuck We need to check the order history and see if the operators have done something; and after we check; transfer it to the mobile operators; if necessaryThe description is not clear at all.Why not just ask Chuck for the order ID? Or at least a phone number with a date?Chuck's number is 0557127001After reviewing the order history; I found out:I close the task. An anomaly that has not yet recurred"
5;0;0;0;819910;1;1;9000;Checking the client's balance when changing the phone number in the order;2019;10;2;13;3;0.326923076923077;Checking the client's balance when changing the phone number in the order
5;339;13.5;2;819906;1;1;10800;FieldDescriptor.java line 295;2019;10;3;9;4;0.365384615384615;"FieldDescriptor.java line 295 Yesterday when I was testing badgeCount I called the same method inside getUnreadMessageCount() and ran. For this reason; this error appeared ok-sya (Not relevant krav close the ticket"
5;0;10;1;819903;264;1;55260;Convert the report to a new format (taxi-corp-site);2019;10;3;9;4;0.384615384615385;Convert the report to a new format (taxi-corp-site) gitlab
