Номер кластера исходный;Расстояние до центра кластера;overall_worklogs;project_id;Id_razn;count_comments;id;assignee_id;creator_id;summary_to_eng;Year;Month;Day;Hour;DayOfWeek;Text_Summa;claster_centr_ishodn;mean_words_comment;Mesto_in_project
1;0.113965097999333;1800;5;0;0;819952;93;93;UI tests commissioned by Dobro KG;2019;10;1;5;2;UI tests commissioned by Dobro KG;2042;0;0
0;0.080175437415571;7200;5;0;1;819949;93;93;"UI tests of the ""Profile"" section";2019;10;1;5;2;"UI tests of the ""Profile"" section Trusted and accepted MR";7030;4;0.0192307692307692
4;0.0136581439043673;900;5;0;0;819943;93;93;"UI tests of the ""News"" section";2019;10;1;6;2;"UI tests of the ""News"" section";871;0;0.0769230769230769
4;0.0136581439043673;900;5;0;1;819941;93;93;"UI tests of the ""Zones of discounts and surcharges"" section";2019;10;1;6;2;"UI tests of the ""Zones of discounts and surcharges"" section Took mR";871;2;0.0961538461538462
4;0.0136581439043673;900;5;0;1;819938;93;93;"UI tests of the ""Chat with support"" section";2019;10;1;6;2;"UI tests of the ""Chat with support"" section Accepted MR";871;2;0.115384615384615
3;0.355340614149049;4500;5;0;0;819935;93;93;"UI tests of the ""Help"" section";2019;10;1;6;2;"UI tests of the ""Help"" section";5255;0;0.134615384615385
2;0.00242218747561443;3600;5;0;0;819931;93;93;"UI tests of the ""Application tour"" section";2019;10;1;6;2;"UI tests of the ""Application tour"" section";3595;0;0.173076923076923
4;0.127559956088992;600;5;0;0;819927;93;93;"UI tests of the sections ""About the system"" and ""Tell friends""";2019;10;1;6;2;"UI tests of the sections ""About the system"" and ""Tell friends""";871;0;0.211538461538462
3;0.06831368583103;5400;5;0;1;819919;1;1;Make a mutex to change the balance of the driver;2019;10;1;15;2;Make a mutex to change the balance of the driver https://gitlab.com/TaxiNamba/taxi-dashboard/merge_requests/585;5255;8;0.269230769230769
3;0.06831368583103;5400;5;15;2;819917;8;54;Build driver app with modified version id (0.4.29);2019;10;2;2;3;"Build driver app with modified version id (0.4.29) In order to build an APK build for drivers who work in other services;The prila was assembled and tested; handed over to the transport department - employee Yntyzar";5255;16.5;0.288461538461538
2;0.284858387462334;4200;5;681;6;819912;207;8;Feedback from Chuck;2019;10;2;12;3;"Feedback from Chuck We need to check the order history and see if the operators have done something; and after we check; transfer it to the mobile operators; if necessaryThe description is not clear at all.Why not just ask Chuck for the order ID? Or at least a phone number with a date?Chuck's number is 0557127001After reviewing the order history; I found out:I close the task. An anomaly that has not yet recurred";3595;40;0.307692307692308
4;0.154876243897727;1200;5;0;1;819883;1;1;DataStorage.java line 220;2019;10;3;12;4;"DataStorage.java line 220 the ticket is not relevant; the changes were not accepted";871;6;0.557692307692308
1;0.113965097999333;1800;5;0;0;819882;1;1;Table.java line 682;2019;10;3;12;4;Table.java line 682;2042;0;0.576923076923077
2;0.00242218747561443;3600;5;0;1;819868;93;93;Sprint 70;2019;10;3;13;4;Sprint 70 Old subtask. close;3595;3;0.692307692307692
0;0.080175437415571;7200;5;0;0;819827;1;1;DemirPrepareActivity.java line 115;2019;10;7;18;1;DemirPrepareActivity.java line 115;7030;0;1
0;0.080175437415571;7200;5;3150;2;819822;1;1;RealConnection.java line 304;2019;10;7;18;1;"RealConnection.java line 304 # Poriserchila found only one source; which says that they solved such an error by changing the hhtp3 libraryOld crash; close";7030;26;1.03846153846154
0;0.080175437415571;7200;5;0;0;819821;54;54;Unsubscribe post-mortem on the problem with surcharge zones on October 1st;2019;10;8;3;2;Unsubscribe post-mortem on the problem with surcharge zones on October 1st;7030;0;1.05769230769231
0;0.080175437415571;7200;5;0;1;819816;1;1;WaitCarFragment.kt line 205;2019;10;8;5;2;WaitCarFragment.kt line 205 Added check for null or not;7030;6;1.07692307692308
2;0.00242218747561443;3600;5;0;1;819811;1;1;TariffsVM.kt;2019;10;8;5;2;TariffsVM.kt Added check for null or not;3595;6;1.11538461538462
2;0.00242218747561443;3600;5;284;2;819808;1;1;HistoryMenuFragment.kt line 154;2019;10;8;5;2;"HistoryMenuFragment.kt line 154 added a check for Context != nullsingle crash; was last caught 3 months ago; but the fix got into the dev; so I'm closing the task";3595;12;1.13461538461538
1;0.113965097999333;1800;5;108;2;819802;1;1;PushNotificationReceiver.java line 41;2019;10;8;6;2;PushNotificationReceiver.java line 41 Added check for null or notChecked and stinked;2042;4.5;1.19230769230769
3;0.06831368583103;5400;5;178;2;819791;1;1;EditFavorite.java line 202;2019;10;8;6;2;"EditFavorite.java line 202 Added check for if(new TariffItem != null)changes in dev; close the ticket";5255;8;1.28846153846154
0;0.080175437415571;7200;5;13;2;819788;1;1;OsSharedRealm.java;2019;10;8;6;2;"OsSharedRealm.java added realm.getInstance().close() before deleting realmI checked; I accept MR";7030;5;1.30769230769231
2;0.00242218747561443;3600;5;97;2;819786;1;1;PushNotificationReceiver.java line 50;2019;10;8;6;2;"PushNotificationReceiver.java line 50 java.util.Set java.util.Map.entrySet()' refers to null. To solve this problem; I added a check for null or notChecked and checked";3595;11.5;1.32692307692308
1;0.113965097999333;1800;5;98;2;819782;1;1;PushNotificationReceiver.java line 78;2019;10;8;6;2;PushNotificationReceiver.java line 78 Added a check for notification.context != nullChecked and checked;2042;7.5;1.36538461538462
1;0.113965097999333;1800;5;95;2;819781;1;1;PushNotificationReceiver.java line 85;2019;10;8;6;2;PushNotificationReceiver.java line 85 Added a check for context != nullChecked and died;2042;4;1.38461538461538
0;0.080175437415571;7200;5;32;2;819777;1;1;Set select_for_update driver profile when working with billing;2019;10;8;10;2;Set select_for_update driver profile when working with billing https://gitlab.com/TaxiNamba/taxi-dashboard/merge_requests/590Deployed fix;7030;5;1.46153846153846
2;0.00242218747561443;3600;5;134;2;819776;94;94;Protest the display of the end price in the client application;2019;10;9;4;3;"Protest the display of the end price in the client application Tested everything works.Tested personally; everything works";3595;3.5;1.48076923076923
2;0.00242218747561443;3600;5;177;3;819775;1;1;EditFavorite.java line 202;2019;10;9;11;3;EditFavorite.java line 202 added check for null or notIt gave an error: NullpointerException. Added check:Accepted MR;3595;6.66666666666667;1.5
3;0.06831368583103;5400;5;252;2;819770;94;94;Ask the task to study FireRemoteConfig;2019;10;9;14;3;Ask the task to study FireRemoteConfig Connected FireBaseRemoteConfigBroke down the task.;5255;2;1.55769230769231
2;0.280014012511104;3000;5;0;0;819756;1;1;edits on aeroport.swift.kg;2019;10;10;7;4;edits on aeroport.swift.kg;3595;0;1.71153846153846
2;0.280014012511104;3000;5;0;1;819754;8;8;Raise and transfer apk DemoTaxi;2019;10;10;10;4;Raise and transfer apk DemoTaxi Application received and tested;3595;4;1.73076923076923
4;0.127559956088992;600;5;0;0;819750;54;54;Give Bekzhan access to the taxi demo;2019;10;11;3;5;Give Bekzhan access to the taxi demo;871;0;1.76923076923077
0;0.080175437415571;7200;5;0;0;819742;82;82;Fixing problems with logging into the driver's application.;2019;10;13;7;7;Fixing problems with logging into the driver's application.;7030;0;1.86538461538462
2;0.138795912517745;3300;5;3103;3;819737;1;54;Set up a VPN for Alia;2019;10;14;10;1;Set up a VPN for Alia OK.so generated vpn certificateCommunication with Aliya and Astashov clarified the requirements and details. I generated the key according to the instructions described above and sent it to Aliya's mail.;3595;16.3333333333333;1.90384615384615
3;0.06831368583103;5400;5;0;0;819732;54;54;Create G-Suit on the account of taxi drivers;2019;10;15;5;2;Create G-Suit on the account of taxi drivers;5255;0;1.96153846153846
