Номер кластера исходный;Расстояние до центра кластера;overall_worklogs;project_id;Id_razn;count_comments;id;assignee_id;creator_id;summary_to_eng;Year;Month;Day;Hour;DayOfWeek;Text_Summa;claster_centr_ishodn;mean_words_comment;Mesto_in_project
2;0.0187316339629049;14400;5;0;0;819947;93;93;"UI tests of the section ""Personal account""";2019;10;1;6;2;"UI tests of the section ""Personal account""";17134;0;0.0384615384615385
2;0.0639435508844709;7800;5;475;2;819933;207;1;Make a division by mobile operators;2019;10;1;6;2;Make a division by mobile operators Added the ability to send to the required operator according to the number prefix. Commit: [https://gitlab.com/TaxiNamba/taxi-sms-go/tree/NT-10686__Mobile_Ops]The code is in the repo. A commit link is not a commit link. Mission accomplished;17134;16;0.153846153846154
2;0.00305228964475865;17580;5;17;2;819924;264;207;Doesn't work with cdr_calc_durations;2019;10;1;8;2;"Doesn't work with cdr_calc_durations [~mursidinovz] Regarding sentry; read the doc how to set up error logging for sentry; it seems to be configured in a special wayThe error turned out not to be in the code; but in the wrong paths to tasks in Celery. The mistake was that they moved the task to another location; but forgot to change the path in the admin panel. With Sanya; they changed the path to the task and everything worked without errors.";17134;30;0.230769230769231
2;0.0367557186226533;22500;5;0;0;819921;94;94;Fix crash addons (NegativeArraySizeException);2019;10;1;11;2;Fix crash addons (NegativeArraySizeException);17134;0;0.25
2;0.0557232023532771;9000;5;0;0;819910;1;1;Checking the client's balance when changing the phone number in the order;2019;10;2;13;3;Checking the client's balance when changing the phone number in the order;17134;0;0.326923076923077
2;0.0433926795564864;10800;5;339;2;819906;1;1;FieldDescriptor.java line 295;2019;10;3;9;4;"FieldDescriptor.java line 295 Yesterday when I was testing badgeCount I called the same method inside getUnreadMessageCount() and ran. For this reason; this error appeared ok-sya (Not relevant krav close the ticket";17134;13.5;0.365384615384615
0;0.0646849082948159;55260;5;0;1;819903;264;1;Convert the report to a new format (taxi-corp-site);2019;10;3;9;4;Convert the report to a new format (taxi-corp-site) gitlab;64703;10;0.384615384615385
0;0.0363247058621973;59400;5;123;3;819896;207;54;The board did not update the money after downloading through the terminal;2019;10;3;10;4;The board did not update the money after downloading through the terminal So far I've only implemented a terminal emulatorMR per refactorAccepted the changes;64703;17;0.442307692307692
2;0.0433926795564864;10800;5;0;1;819889;8;8;Sprint 70;2019;10;3;10;4;Sprint 70 Old subtask. close;17134;3;0.5
0;0.048655228658988;57600;5;1;2;819886;8;8;Release of NambaTaxi Client iOS 4.31.26;2019;10;3;10;4;"Release of NambaTaxi Client iOS 4.31.26 Released namba taxi client application with version 4;31;26(25)Pro release October 29";64703;8;0.519230769230769
2;0.0248362132524222;20760;5;2;3;819880;264;264;Write documentation to fix an error with taking two orders by one driver;2019;10;3;12;4;Write documentation to fix an error with taking two orders by one driver Link to DocumentationAccepted Vanish's challengeAdded documentation to the project;17134;6.66666666666667;0.596153846153846
2;0.0228418082285019;13800;5;0;1;819877;264;1;Convert the report to a new format (taxi-dashboard);2019;10;3;12;4;Convert the report to a new format (taxi-dashboard) gitlab;17134;9;0.615384615384615
2;0.0947091757675697;30960;5;984;3;819875;264;1;Add new fields to the reconciliation act report (taxi-dashboard);2019;10;3;12;4;Add new fields to the reconciliation act report (taxi-dashboard) New fields that appearedHelped Zhenish to understand the logic of corp orders!screenshot-1.png|!;17134;37;0.634615384615385
0;0.341811326572718;114600;5;0;0;819871;1;1;Modify the logic of working with the cost of a corp order (taxi-dashboard));2019;10;3;13;4;Modify the logic of working with the cost of a corp order (taxi-dashboard));64703;0;0.653846153846154
0;0.00755348600301892;63600;5;1027;4;819863;94;8;Release NambaTaxi Client Android 5.2.53;2019;10;3;14;4;Release NambaTaxi Client Android 5.2.53 Samsung A6NT-10890 - Feedback on order status change in NT client android 5.2.53(150){no format}Released the app for sale;64703;46.75;0.711538461538462
2;0.071692199880227;27600;5;0;0;819855;1;207;Set up processes for the entire team;2019;10;3;18;4;Set up processes for the entire team;17134;0;0.769230769230769
2;0.00592941163067649;18000;5;0;1;819852;54;54;Write a resume on meeting with customers;2019;10;4;2;5;Write a resume on meeting with customers * Described the meeting summary [https://docs.google.com/document/d/1sftHG3LtXz6PPky8qMs0kU4P5XnrPLcZF2bf6NQC9mY/edit?usp=sharing];17134;15;0.788461538461538
2;0.0429209800210486;23400;5;303;2;819850;94;94;Prepare a test environment.;2019;10;4;5;5;Prepare a test environment. Prepared a test environment and blocked the zone data.checked and accepted;17134;5;0.807692307692308
2;0.0125663725645096;15300;5;0;0;819848;94;94;Rewrite tests for fixed zones;2019;10;4;5;5;Rewrite tests for fixed zones;17134;0;0.826923076923077
2;0.0305904572242579;21600;5;307;2;819846;94;94;Rewrite tests for charged zones;2019;10;4;5;5;Rewrite tests for charged zones Rewrite tests for billed zones.Accepted MR;17134;3.5;0.846153846153846
2;0.0516130280876802;9600;5;0;1;819832;207;54;Make an icon preview when entering a link in the tariff settings for customers;2019;10;7;12;1;Make an icon preview when entering a link in the tariff settings for customers Made a preview of the picture inserted by URL.;17134;21;0.961538461538462
2;0.0182599344274672;19800;5;0;1;819813;1;1;PushNotificationReceiver.java;2019;10;8;5;2;PushNotificationReceiver.java Almost all crashes from PushNotification class -- NullPointExceptions;17134;13;1.09615384615385
2;0.0433926795564864;10800;5;3038;2;819780;1;1;Binder.java;2019;10;8;6;2;"Binder.java http://www.nickagas.com/android-media-mediaplayer-native_finalize-timed-out-after-10-seconds/Old crash; close";17134;12;1.40384615384615
2;0.0433926795564864;10800;5;177;2;819779;93;93;"The ""Help"" section on the stage does not work";2019;10;8;8;2;"The ""Help"" section on the stage does not work Figured out the cause of the bug. The code did not specify the case of filling phones when working on the stage.Checked and accepted by MR";17134;10;1.42307692307692
0;0.132192439027276;84000;5;0;0;819778;1;54;Communication and non-coding time (Sprint 71);2019;10;8;9;2;Communication and non-coding time (Sprint 71);64703;0;1.44230769230769
2;0.123069378200188;35100;5;120;2;819768;94;94;Connect FireRemoteConfig and create an update window.;2019;10;9;14;3;"Connect FireRemoteConfig and create an update window. Connected FireBase Remote Config. Added notification windows.checked; accepted MR";17134;5;1.57692307692308
2;0.00592941163067649;18000;5;122;2;819765;94;94;Cover with tests RemoteConfig in the driver app;2019;10;9;14;3;Cover with tests RemoteConfig in the driver app Covered with tests. All three cases of update notification.Accepted MR;17134;5;1.61538461538462
2;0.0557232023532771;9000;5;0;1;819763;8;8;Collect and transfer Airport Taxi;2019;10;10;4;4;"Collect and transfer Airport Taxi Received prilu; tested and handed over to Bekzhan";17134;6;1.63461538461538
2;0.0182599344274672;19800;5;140;2;819761;94;54;Change the design of the Aeroport-taxi driver application;2019;10;10;4;4;Change the design of the Aeroport-taxi driver application Changed the designChecked accepted MR;17134;2.5;1.65384615384615
2;0.00592941163067649;18000;5;144;2;819759;94;54;Change app accent colors from gold to blue;2019;10;10;5;4;Change app accent colors from gold to blue Changed the color of the prila.Checked changed;17134;3.5;1.67307692307692
0;0.314684176419778;110640;5;295;3;819751;264;264;Rewrite the calculation of the cost of orders, taking into account VAT, VAT and commission ( taxi-dashboard );2019;10;10;11;4;Rewrite the calculation of the cost of orders, taking into account VAT, VAT and commission ( taxi-dashboard ) Nifiga is not understood what and how to calculate. Write out the task in more detailgitlabSmergil change;64703;7.33333333333333;1.75
2;0.0639435508844709;7800;5;0;1;819744;54;54;Sale drop (October 11);2019;10;12;2;6;Sale drop (October 11) [^Postmortem. Rain.pdf];17134;3;1.84615384615385
2;0.0125663725645096;15300;5;92;2;819734;94;94;Fix the opening of the notification window with an active order.;2019;10;14;16;1;Fix the opening of the notification window with an active order. Fixed added check for active order.Trusted and accepted MR;17134;5;1.94230769230769
