id,overall_worklogs
675975,17134
675972,17134
675965,17134
675949,17134
675938,17134
675921,17134
675919,17134
675910,17134
675892,64703
675878,17134
675857,17134
675853,17134
675850,17134
675849,17134
675847,17134
675845,17134
675843,17134
675841,17134
675838,17134
675836,17134
675834,17134
675831,17134
675825,17134
721916,17134
721914,17134
721906,17134
721905,17134
721904,17134
721903,17134
721899,17134
721897,17134
721896,17134
721895,17134
721893,64703
721892,17134
721890,17134
721889,17134
721888,17134
721881,17134
721875,17134
721874,17134
721873,17134
721872,17134
721868,17134
721864,17134
721861,17134
721859,17134
721848,17134
721846,17134
721845,17134
721844,17134
721842,17134
721841,17134
721839,17134
721837,17134
721835,17134
721834,17134
721832,17134
721830,17134
721827,17134
721824,17134
721818,17134
721817,17134
721816,17134
721814,17134
721803,17134
721800,17134
721799,17134
721798,17134
721797,17134
721796,17134
721795,17134
721794,17134
721785,17134
721777,17134
721773,17134
721772,17134
721768,17134
721767,17134
721766,17134
721765,17134
721762,17134
721761,17134
721760,17134
721759,17134
721757,17134
721755,17134
721750,17134
721749,17134
721748,17134
721746,17134
721745,17134
721738,17134
721735,17134
721734,17134
721732,17134
721730,17134
721729,17134
721728,17134
721727,17134
721725,17134
721721,17134
721719,17134
721718,17134
721715,17134
721714,17134
721713,17134
721712,17134
721708,17134
721707,17134
721706,17134
721705,17134
721704,17134
721703,17134
721702,17134
721700,17134
721698,17134
721697,17134
721693,17134
721691,17134
721689,17134
721685,17134
721680,17134
721677,17134
721675,17134
721668,17134
721667,17134
721657,17134
721656,17134
721654,17134
721652,17134
721651,17134
721649,17134
721648,17134
721643,17134
721640,17134
721639,17134
721637,64703
721636,17134
721633,17134
721632,17134
721623,17134
721622,17134
721621,17134
721617,17134
721616,17134
721614,17134
721613,17134
721612,17134
721601,17134
721599,17134
721596,17134
721595,17134
721594,17134
721593,17134
721592,17134
721590,17134
721585,17134
721583,17134
721581,17134
721580,17134
721575,17134
721566,17134
721562,17134
721556,17134
721548,17134
721545,17134
721541,17134
721540,17134
721539,17134
721534,17134
721531,17134
721506,17134
721502,17134
721500,17134
721499,17134
721498,17134
721495,17134
721491,17134
721490,17134
721489,17134
721488,17134
721483,17134
721481,17134
721477,64703
721475,17134
721474,17134
721473,64703
721472,17134
721470,17134
721468,17134
721465,17134
721464,17134
721463,17134
721462,17134
721461,17134
721460,17134
721459,17134
721457,17134
721456,17134
721454,17134
721451,17134
721445,17134
721441,17134
721437,17134
721430,17134
721417,17134
721416,17134
721415,17134
721414,17134
721405,17134
721403,17134
721402,17134
721401,17134
721389,17134
721371,17134
721369,17134
721368,17134
721364,17134
721355,17134
721349,17134
721348,17134
721347,17134
721346,17134
721323,17134
721322,17134
721317,17134
721316,17134
721294,17134
721292,17134
721287,17134
721286,17134
721279,17134
721276,17134
721274,17134
721268,64703
721254,17134
721253,17134
721250,17134
721246,17134
721245,17134
721244,17134
721237,17134
721233,17134
721232,17134
721231,17134
721230,17134
721227,17134
721197,17134
721184,17134
721183,17134
721182,17134
721180,17134
721179,17134
721171,17134
721170,17134
721169,17134
721166,17134
721163,17134
721162,17134
721159,17134
721158,17134
721157,17134
721155,17134
721154,17134
721153,17134
721152,17134
721151,17134
721145,17134
721143,17134
721142,17134
721137,17134
721136,17134
721109,17134
721075,64703
721056,17134
721053,17134
721050,17134
721045,17134
721042,17134
721038,17134
721037,17134
721032,17134
721031,17134
721025,64703
721020,17134
721013,17134
721011,17134
720984,17134
720982,17134
676627,17134
720952,17134
720948,17134
720940,17134
720931,17134
720926,17134
720917,17134
720912,17134
720888,17134
720885,17134
720866,17134
720865,17134
720856,17134
720835,17134
720833,17134
720830,17134
720829,17134
720825,17134
720811,17134
720810,17134
720809,17134
720806,17134
720798,17134
856265,17134
856259,17134
856258,17134
856257,17134
856252,17134
856250,17134
856249,64703
893696,17134
893676,17134
893604,17134
893594,17134
893592,17134
893591,17134
893590,17134
933888,17134
933887,17134
933886,17134
933885,17134
933884,17134
933878,17134
933871,17134
933870,17134
933849,17134
933845,17134
933844,17134
997099,17134
997098,17134
1040329,17134
700087,17134
700083,17134
700081,17134
700080,17134
700079,17134
700078,17134
700077,17134
700076,17134
700075,17134
700072,17134
700071,17134
700070,17134
700069,17134
700067,17134
700066,17134
700060,17134
700058,17134
700057,17134
700056,17134
700055,17134
700053,17134
700049,17134
700048,17134
700042,17134
700041,17134
700040,17134
700037,17134
700036,17134
700035,17134
700034,17134
700032,64703
700031,17134
700030,17134
700028,17134
700026,17134
700025,17134
700024,17134
1066158,530386
1151895,64703
1153669,530386
1165511,17134
1177386,17134
1200120,17134
1200583,64703
1200582,64703
1233965,17134
1233958,17134
1263117,17134
1263115,17134
1263114,17134
1484347,64703
1484375,17134
1828683,64703
1840029,17134
1840028,17134
1840027,17134
1840026,17134
1843322,64703
1848257,64703
1848349,17134
1848345,64703
1848830,64703
1848827,64703
1848825,17134
1848823,17134
1848822,17134
1987124,64703
1987735,17134
1990245,17134
1988962,17134
1991033,17134
1993289,17134
2104546,17134
2106719,17134
2170252,17134
2175460,17134
2175459,17134
2176673,17134
2181164,64703
686629,17134
686628,17134
686622,17134
686619,17134
686617,17134
686611,17134
686605,64703
686601,17134
686599,17134
686587,17134
686584,17134
686580,17134
686572,17134
686568,17134
686540,17134
686537,17134
686535,17134
686533,17134
686532,17134
686526,17134
686524,17134
686521,17134
686518,17134
686516,17134
686512,17134
686508,17134
686500,17134
686499,17134
686489,17134
686486,17134
686479,17134
686475,17134
686466,17134
686460,17134
686458,17134
686454,17134
686439,17134
686423,17134
686406,17134
686402,17134
686395,17134
679225,17134
688398,17134
688390,17134
688366,17134
679091,17134
688362,17134
679078,17134
688360,17134
688354,17134
679064,17134
679059,17134
679046,17134
679044,17134
679042,17134
679040,17134
688348,17134
679027,17134
678963,17134
688306,17134
688298,17134
688289,17134
688267,17134
688261,17134
678981,17134
688228,17134
688157,17134
688147,17134
702528,17134
