id,overall_worklogs
675975,17134
675972,17134
675965,17134
675961,11940
675955,22440
675952,12600
675949,17134
675938,17134
675921,17134
675919,17134
675917,4680
675915,5400
675912,8640
675910,17134
675909,7980
675906,7560
675892,64703
675887,5580
675878,17134
675873,4200
675861,20760
675857,17134
675853,17134
675850,17134
675849,17134
675847,17134
675845,17134
675843,17134
675841,17134
675838,17134
675836,17134
675834,17134
675831,17134
675825,17134
721916,17134
721915,4440
721914,17134
721913,10020
721912,9900
721911,9300
721910,8760
721909,8880
721908,8880
721907,8220
721906,17134
721905,17134
721904,17134
721903,17134
721902,5880
721901,7980
721899,17134
721898,10500
721897,17134
721896,17134
721895,17134
721894,12180
721893,64703
721892,17134
721890,17134
721889,17134
721888,17134
721885,7800
721884,7200
721883,7200
721882,7200
721881,17134
721877,9780
721876,8400
721875,17134
721874,17134
721873,17134
721872,17134
721871,7440
721869,9900
721868,17134
721867,8700
721865,7800
721864,17134
721862,7260
721861,17134
721860,6300
721859,17134
721858,10500
721857,8820
721856,4500
721855,9180
721851,4260
721850,8460
721849,8460
721848,17134
721846,17134
721845,17134
721844,17134
721843,9120
721842,17134
721841,17134
721839,17134
721838,7140
721837,17134
721836,5820
721835,17134
721834,17134
721833,9780
721832,17134
721831,4200
721830,17134
721827,17134
721824,17134
721822,9420
721821,11700
721820,4320
721818,17134
721817,17134
721816,17134
721814,17134
721809,6180
721807,7500
721806,6060
721805,9000
721804,7080
721803,17134
721802,7500
721801,8760
721800,17134
721799,17134
721798,17134
721797,17134
721796,17134
721795,17134
721794,17134
721792,7860
721791,8760
721790,7740
721787,9360
721786,9720
721785,17134
721784,6420
721783,6420
721782,7260
721780,6420
721779,6420
721778,6420
721777,17134
721776,9120
721775,6240
721774,9480
721773,17134
721772,17134
721771,10380
721770,7920
721769,4560
721768,17134
721767,17134
721766,17134
721765,17134
721763,5880
721762,17134
721761,17134
721760,17134
721759,17134
721758,10620
721757,17134
721755,17134
721754,9540
721751,10200
721750,17134
721749,17134
721748,17134
721747,9840
721746,17134
721745,17134
721744,8520
721743,8520
721742,8520
721741,9240
721740,9360
721738,17134
721737,4680
721736,8640
721735,17134
721734,17134
721733,7740
721732,17134
721731,11820
721730,17134
721729,17134
721728,17134
721727,17134
721726,8220
721725,17134
721724,10020
721723,9480
721722,8760
721721,17134
721720,7080
721719,17134
721718,17134
721717,7620
721716,7620
721715,17134
721714,17134
721713,17134
721712,17134
721710,3060
721708,17134
721707,17134
721706,17134
721705,17134
721704,17134
721703,17134
721702,17134
721700,17134
721699,7140
721698,17134
721697,17134
721696,4020
721695,7740
721694,10080
721693,17134
721692,6900
721691,17134
721690,6900
721689,17134
721688,7500
721687,8400
721686,11220
721685,17134
721684,10440
721683,10440
721681,9660
721680,17134
721679,6000
721678,6000
721677,17134
721676,3240
721675,17134
721673,8460
721672,8100
721671,8760
721670,7920
721668,17134
721667,17134
721666,8760
721663,4020
721659,5460
721657,17134
721656,17134
721654,17134
721653,9780
721652,17134
721651,17134
721649,17134
721648,17134
721645,10380
721644,10380
721643,17134
721640,17134
721639,17134
721638,5400
721637,64703
721636,17134
721634,6360
721633,17134
721632,17134
721631,7440
721630,7440
721629,6240
721626,4200
721623,17134
721622,17134
721621,17134
721617,17134
721616,17134
721615,8220
721614,17134
721613,17134
721612,17134
721611,8220
721605,8280
721601,17134
721600,8400
721599,17134
721598,8280
721597,8280
721596,17134
721595,17134
721594,17134
721593,17134
721592,17134
721590,17134
721589,8280
721588,8280
721587,8280
721585,17134
721584,8280
721583,17134
721581,17134
721580,17134
721576,8640
721575,17134
721569,7740
721568,1980
721567,7560
721566,17134
721565,8280
721564,6900
721562,17134
721561,6000
721560,6000
721559,4320
721558,4980
721556,17134
721555,5880
721553,2040
721550,1920
721549,5700
721548,17134
721546,6420
721545,17134
721543,5400
721542,6720
721541,17134
721540,17134
721539,17134
721538,9480
721537,9660
721536,7920
721535,4680
721534,17134
721533,6420
721531,17134
721530,1200
721529,360
721528,960
721525,360
721523,960
721521,960
721519,360
721518,360
721517,1560
721516,120
721514,9180
721513,2760
721509,7620
721508,8700
721506,17134
721505,9060
721504,5400
721503,7500
721502,17134
721501,9660
721500,17134
721499,17134
721498,17134
721497,7260
721496,8700
721495,17134
721494,9540
721491,17134
721490,17134
721489,17134
721488,17134
721487,4200
721486,6060
721485,6060
721484,6060
721483,17134
721482,6060
721481,17134
721480,7560
721479,4560
721478,5160
721477,64703
721475,17134
721474,17134
721473,64703
721472,17134
721471,3120
721470,17134
721469,8880
721468,17134
721466,6420
721465,17134
721464,17134
721463,17134
721462,17134
721461,17134
721460,17134
721459,17134
721458,5220
721457,17134
721456,17134
721454,17134
721453,9600
721451,17134
721449,6180
721448,4320
721447,4320
721446,8460
721445,17134
721443,2700
721441,17134
721440,6360
721439,1320
721438,9420
721437,17134
721436,780
721435,1380
721433,5040
721432,1080
721430,17134
721429,6420
721426,1080
721425,240
721423,240
721422,240
721421,900
721420,900
721419,1380
721418,7440
721417,17134
721416,17134
721415,17134
721414,17134
721413,7740
721411,7200
721409,4200
721408,660
721407,5460
721406,5940
721405,17134
721404,5940
721403,17134
721402,17134
721401,17134
721396,5160
721395,2400
721394,11940
721393,9120
721392,7080
721391,300
721389,17134
721388,300
721387,300
721386,300
721385,240
721384,240
721382,300
721380,5040
721378,3000
721377,300
721375,60
721374,300
721372,8640
721371,17134
721370,1560
721369,17134
721368,17134
721367,6720
721366,4020
721365,300
721364,17134
721363,7260
721362,5100
721359,5520
721357,11220
721356,5400
721355,17134
721354,5220
721352,7860
721351,5640
721350,7800
721349,17134
721348,17134
721347,17134
721346,17134
721336,6720
721331,4500
721324,9420
721323,17134
721322,17134
721317,17134
721316,17134
721295,7620
721294,17134
721293,7020
721292,17134
721290,7680
721288,3420
721287,17134
721286,17134
721284,5040
721282,5040
721281,3900
721280,3360
721279,17134
721278,14220
721277,8700
721276,17134
721275,8880
721274,17134
721273,3780
721272,9060
721271,3780
721270,3780
721269,3780
721268,64703
721267,5520
721266,1560
721264,1500
721263,1860
721262,6060
721260,1020
721259,600
721258,1260
721257,2040
721255,3720
721254,17134
721253,17134
721252,8100
721250,17134
721249,6360
721248,7500
721247,600
721246,17134
721245,17134
721244,17134
721242,7740
721241,8520
676630,7080
721240,6300
721237,17134
721235,9420
721233,17134
721232,17134
721231,17134
721230,17134
721228,2040
721227,17134
721197,17134
721196,6900
721195,16500
721194,3420
721192,3240
721190,2760
721188,6360
721186,2580
721184,17134
721183,17134
721182,17134
721181,10980
721180,17134
721179,17134
721178,8700
721177,2580
721173,7620
721172,7920
721171,17134
721170,17134
721169,17134
721166,17134
721165,10620
721163,17134
721162,17134
721161,5520
721159,17134
721158,17134
721157,17134
721155,17134
721154,17134
721153,17134
721152,17134
721151,17134
721147,9960
721146,9960
721145,17134
721144,10080
721143,17134
721142,17134
721137,17134
721136,17134
721122,9540
721120,8400
721119,8400
721118,8400
721116,8400
721115,8400
721114,8400
721113,8400
721112,8880
721111,9960
721110,8280
721109,17134
721075,64703
721074,7680
721073,8460
721072,7860
721071,7200
721070,5220
721069,8400
721068,2760
721067,6900
721066,7560
721063,1860
721057,7440
721056,17134
721055,7500
721053,17134
721052,6420
721051,9180
721050,17134
721049,4920
721048,6300
721047,5100
721046,5100
721045,17134
721042,17134
721038,17134
721037,17134
721036,6180
721034,4920
721033,5820
721032,17134
721031,17134
721030,10020
721029,1260
721028,2760
721025,64703
721021,11220
721020,17134
721019,5400
721018,5400
721017,8820
721016,780
721015,2820
721014,6000
721013,17134
721012,6300
721011,17134
721009,5220
721008,5880
721004,6240
721003,480
721001,6300
721000,5820
720999,5520
720998,2640
720995,7680
720994,8100
720993,2940
720992,3120
720991,7080
720987,9000
720986,15660
720984,17134
720982,17134
720981,7500
676627,17134
720978,5460
720977,5640
720975,6360
720974,7200
720973,7140
720971,2160
720969,1920
720963,5040
720962,6840
720959,2040
720958,5640
720957,4680
720953,7680
720952,17134
720951,6420
720948,17134
720947,10200
720946,4020
720944,3060
720943,3120
720942,2880
720941,8220
720940,17134
720938,6600
720937,5100
720935,2880
720931,17134
720928,8280
720927,8280
720926,17134
720925,8280
720924,8280
720921,8820
