id,overall_worklogs
675961,11692
675955,30206
675952,11692
675917,11692
675915,11692
675912,11692
675909,11692
675906,11692
675887,66322
675873,11692
675861,30206
721913,11692
721912,11692
721910,11692
721909,11692
721908,11692
721901,11692
721898,11692
721894,11692
721877,11692
721876,11692
721871,11692
721867,11692
721865,11692
721858,11692
721856,30206
721855,11692
721850,11692
721849,11692
721843,11692
721838,11692
721836,11692
721831,11692
721822,11692
721821,11692
721805,11692
721804,11692
721802,11692
721801,11692
721787,11692
721782,11692
721776,11692
721774,11692
721763,30206
721758,11692
721754,11692
721751,11692
721747,11692
721744,11692
721743,11692
721742,11692
721741,11692
721740,11692
721736,11692
721731,11692
721724,11692
721723,11692
721722,11692
721717,30206
721716,11692
721710,30206
721699,11692
721695,11692
721694,11692
721692,11692
721690,11692
721686,11692
721684,11692
721683,11692
721681,11692
721673,11692
721672,11692
721671,11692
721666,11692
721659,11692
721653,11692
721631,11692
721630,30206
721605,11692
721598,11692
721597,11692
721589,11692
721588,11692
721587,11692
721584,11692
721576,11692
721569,11692
721568,11692
721567,11692
721565,11692
721564,11692
721559,11692
721558,30206
721549,11692
721546,11692
721542,11692
721538,11692
721537,11692
721536,11692
721533,11692
721514,11692
721509,11692
721508,11692
721505,11692
721504,11692
721503,11692
721501,30206
721496,11692
721494,11692
721486,11692
721485,11692
721484,11692
721482,11692
721480,11692
721469,11692
721466,11692
721453,11692
721449,30206
721448,11692
721447,11692
721446,11692
721440,11692
721438,11692
721429,11692
721419,11692
721418,11692
721413,11692
721411,11692
721409,11692
721406,11692
721396,11692
721394,30206
721393,11692
721392,11692
721387,11692
721380,11692
721378,11692
721372,11692
721367,11692
721363,11692
721362,11692
721359,11692
721357,11692
721356,11692
721352,11692
721351,11692
721350,11692
721295,11692
721290,30206
721280,11692
721278,11692
721277,11692
721275,11692
721272,30206
721267,11692
721262,11692
721255,30206
721252,11692
721249,11692
721242,11692
676630,11692
721196,11692
721195,11692
721181,11692
721173,11692
721172,11692
721165,11692
721161,11692
721147,11692
721146,11692
721144,11692
721120,11692
721119,11692
721118,11692
721116,11692
721115,11692
721114,11692
721113,11692
721112,11692
721111,11692
721074,11692
721072,11692
721057,11692
721051,11692
721048,11692
721033,11692
721030,11692
721021,11692
721019,11692
721018,11692
721017,11692
721014,11692
721012,11692
721004,11692
721000,11692
720998,11692
720995,11692
720994,11692
720987,11692
720986,11692
720981,11692
720975,11692
720974,11692
720957,11692
720946,11692
720941,11692
720938,11692
720937,11692
720928,11692
720927,11692
720925,11692
720924,11692
720919,11692
720918,11692
720914,11692
676624,11692
720891,11692
720887,11692
720881,11692
720876,30206
720874,11692
720869,30206
720863,11692
676621,11692
720840,11692
720836,11692
720834,11692
720832,11692
720831,11692
856261,11692
856255,11692
856254,11692
856253,11692
856248,11692
893695,11692
893694,11692
933881,11692
933880,11692
933872,11692
933869,11692
933865,11692
933863,11692
997102,11692
997095,11692
1040330,11692
700086,11692
700084,11692
700082,11692
700074,11692
700073,11692
700065,11692
700062,11692
700061,11692
700052,11692
700051,11692
700050,11692
700044,11692
700043,11692
700038,11692
700033,11692
700029,11692
1263112,11692
1358978,11692
1828613,66322
1829520,11692
1843320,11692
1848348,11692
1848346,11692
1848832,137018
1848831,30206
1978301,30206
1984715,11692
1987348,11692
1990701,11692
1995464,11692
2105185,30206
2171729,11692
2175461,11692
2176348,11692
686623,11692
686615,11692
686610,11692
686594,11692
686557,11692
686504,11692
686487,11692
686451,30206
686445,11692
686443,11692
686436,11692
686415,11692
686411,11692
686407,11692
686398,11692
679232,11692
688410,11692
688406,11692
688403,11692
688395,11692
688394,11692
688387,11692
688382,11692
688378,30206
688373,30206
688357,11692
688351,11692
678967,11692
679049,11692
679037,11692
679034,11692
679031,11692
688325,11692
688321,30206
688317,11692
688314,11692
688295,11692
688283,11692
679013,11692
679004,11692
678998,11692
678994,11692
678992,11692
688251,11692
678969,11692
688218,30206
688196,30206
688150,11692
688132,11692
702545,11692
702499,11692
