Номер кластера исходный;Расстояние до центра кластера;overall_worklogs;project_id;Id_razn;count_comments;id;assignee_id;creator_id;summary_to_eng;Year;Month;Day;Hour;DayOfWeek;Text_Summa;claster_centr_ishodn;mean_words_comment;Mesto_in_project
0;0.0384695001455875;17580;5;17;2;819924;264;207;Doesn't work with cdr_calc_durations;2019;10;1;8;2;"Doesn't work with cdr_calc_durations [~mursidinovz] Regarding sentry; read the doc how to set up error logging for sentry; it seems to be configured in a special wayThe error turned out not to be in the code; but in the wrong paths to tasks in Celery. The mistake was that they moved the task to another location; but forgot to change the path in the admin panel. With Sanya; they changed the path to the task and everything worked without errors.";25206;30;0.230769230769231
0;0.0136518252231071;22500;5;0;0;819921;94;94;Fix crash addons (NegativeArraySizeException);2019;10;1;11;2;Fix crash addons (NegativeArraySizeException);25206;0;0.25
3;0.0368156142938993;55260;5;0;1;819903;264;1;Convert the report to a new format (taxi-corp-site);2019;10;3;9;4;Convert the report to a new format (taxi-corp-site) gitlab;62559;10;0.384615384615385
3;0.0159324488103488;59400;5;123;3;819896;207;54;The board did not update the money after downloading through the terminal;2019;10;3;10;4;The board did not update the money after downloading through the terminal So far I've only implemented a terminal emulatorMR per refactorAccepted the changes;62559;17;0.442307692307692
3;0.0250120859771099;57600;5;1;2;819886;8;8;Release of NambaTaxi Client iOS 4.31.26;2019;10;3;10;4;"Release of NambaTaxi Client iOS 4.31.26 Released namba taxi client application with version 4;31;26(25)Pro release October 29";62559;8;0.519230769230769
0;0.0224288078176429;20760;5;2;3;819880;264;264;Write documentation to fix an error with taking two orders by one driver;2019;10;3;12;4;Write documentation to fix an error with taking two orders by one driver Link to DocumentationAccepted Vanish's challengeAdded documentation to the project;25206;6.66666666666667;0.596153846153846
0;0.0290224694606702;30960;5;984;3;819875;264;1;Add new fields to the reconciliation act report (taxi-dashboard);2019;10;3;12;4;Add new fields to the reconciliation act report (taxi-dashboard) New fields that appearedHelped Zhenish to understand the logic of corp orders!screenshot-1.png|!;25206;37;0.634615384615385
9;0.109411156417917;114600;5;0;0;819871;1;1;Modify the logic of working with the cost of a corp order (taxi-dashboard));2019;10;3;13;4;Modify the logic of working with the cost of a corp order (taxi-dashboard));136290;0;0.653846153846154
3;0.00525337124542719;63600;5;1027;4;819863;94;8;Release NambaTaxi Client Android 5.2.53;2019;10;3;14;4;Release NambaTaxi Client Android 5.2.53 Samsung A6NT-10890 - Feedback on order status change in NT client android 5.2.53(150){no format}Released the app for sale;62559;46.75;0.711538461538462
0;0.0120738134160494;27600;5;0;0;819855;1;207;Set up processes for the entire team;2019;10;3;18;4;Set up processes for the entire team;25206;0;0.769230769230769
0;0.03635091814001;18000;5;0;1;819852;54;54;Write a resume on meeting with customers;2019;10;4;2;5;Write a resume on meeting with customers * Described the meeting summary [https://docs.google.com/document/d/1sftHG3LtXz6PPky8qMs0kU4P5XnrPLcZF2bf6NQC9mY/edit?usp=sharing];25206;15;0.788461538461538
0;0.00911200663972655;23400;5;303;2;819850;94;94;Prepare a test environment.;2019;10;4;5;5;Prepare a test environment. Prepared a test environment and blocked the zone data.checked and accepted;25206;5;0.807692307692308
0;0.0181916438064877;21600;5;307;2;819846;94;94;Rewrite tests for charged zones;2019;10;4;5;5;Rewrite tests for charged zones Rewrite tests for billed zones.Accepted MR;25206;3.5;0.846153846153846
0;0.0272712809732488;19800;5;0;1;819813;1;1;PushNotificationReceiver.java;2019;10;8;5;2;PushNotificationReceiver.java Almost all crashes from PushNotification class -- NullPointExceptions;25206;13;1.09615384615385
