id,overall_worklogs
675975,9360
675972,7200
675965,15060
675961,11940
675955,22440
675952,12600
675949,6720
675938,15960
675921,11940
675919,11520
675917,4680
675915,5400
675912,8640
675910,21060
675909,7980
675906,7560
675892,11220
675887,5580
675878,14040
675873,4200
675861,20760
675857,10980
675853,18300
675850,20760
675849,10980
675847,18300
675845,10980
675843,9960
675841,11100
675838,12300
675836,11220
675834,9420
675831,12720
675825,9180
721916,12000
721915,4440
721914,7560
721913,10020
721912,9900
721911,9300
721910,8760
721909,8880
721908,8880
721907,8220
721906,19680
721905,11340
721904,11340
721903,11340
721902,5880
721901,7980
721899,12060
721898,10500
721897,9300
721896,9960
721895,14220
721894,12180
721893,32880
721892,10500
721890,10500
721889,11880
721888,10380
721885,7800
721884,7200
721883,7200
721882,7200
721881,7620
721877,9780
721876,8400
721875,11700
721874,9660
721873,9660
721872,9660
721871,7440
721869,9900
721868,29400
721867,8700
721865,7800
721864,9180
721862,7260
721861,8400
721860,6300
721859,9120
721858,10500
721857,8820
721856,4500
721855,9180
721851,4260
721850,8460
721849,8460
721848,8460
721846,11460
721845,9600
721844,8640
721843,9120
721842,9900
721841,11700
721839,7140
721838,7140
721837,7140
721836,5820
721835,9300
721834,10020
721833,9780
721832,11340
721831,4200
721830,11340
721827,11340
721824,6840
721822,9420
721821,11700
721820,4320
721818,8100
721817,10500
721816,12060
721814,10740
721809,6180
721807,7500
721806,6060
721805,9000
721804,7080
721803,22200
721802,7500
721801,8760
721800,9900
721799,17580
721798,10740
721797,9180
721796,8880
721795,8880
721794,9240
721792,7860
721791,8760
721790,7740
721787,9360
721786,9720
721785,7740
721784,6420
721783,6420
721782,7260
721780,6420
721779,6420
721778,6420
721777,9360
721776,9120
721775,6240
721774,9480
721773,9480
721772,22080
721771,10380
721770,7920
721769,4560
721768,7980
721767,9960
721766,9960
721765,9960
721763,5880
721762,11400
721761,10620
721760,10320
721759,10320
721758,10620
721757,9660
721755,9480
721754,9540
721751,10200
721750,23280
721749,10620
721748,9540
721747,9840
721746,7260
721745,10980
721744,8520
721743,8520
721742,8520
721741,9240
721740,9360
721738,9660
721737,4680
721736,8640
721735,10080
721734,14100
721733,7740
721732,9120
721731,11820
721730,9960
721729,9960
721728,9960
721727,13440
721726,8220
721725,10500
721724,10020
721723,9480
721722,8760
721721,7800
721720,7080
721719,9780
721718,8880
721717,7620
721716,7620
721715,26880
721714,7260
721713,8520
721712,8520
721710,3060
721708,6180
721707,8700
721706,17640
721705,4920
721704,5700
721703,6060
721702,7860
721700,7140
721699,7140
721698,7140
721697,9360
721696,4020
721695,7740
721694,10080
721693,6900
721692,6900
721691,9000
721690,6900
721689,29100
721688,7500
721687,8400
721686,11220
721685,9180
721684,10440
721683,10440
721681,9660
721680,9600
721679,6000
721678,6000
721677,8880
721676,3240
721675,21300
721673,8460
721672,8100
721671,8760
721670,7920
721668,8280
721667,10500
721666,8760
721663,4020
721659,5460
721657,24300
721656,7980
721654,8220
721653,9780
721652,9480
721651,8820
721649,9120
721648,8880
721645,10380
721644,10380
721643,21600
721640,18840
721639,9780
721638,5400
721637,25620
721636,25620
721634,6360
721633,8820
721632,9180
721631,7440
721630,7440
721629,6240
721626,4200
721623,9600
721622,8820
721621,8460
721617,8280
721616,8280
721615,8220
721614,15660
721613,8280
721612,8280
721611,8220
721605,8280
721601,9900
721600,8400
721599,8280
721598,8280
721597,8280
721596,8280
721595,8280
721594,8280
721593,8280
721592,10560
721590,8280
721589,8280
721588,8280
721587,8280
721585,8280
721584,8280
721583,8640
721581,8640
721580,8640
721576,8640
721575,8220
721569,7740
721568,1980
721567,7560
721566,11280
721565,8280
721564,6900
721562,7740
721561,6000
721560,6000
721559,4320
721558,4980
721556,7680
721555,5880
721553,2040
721550,1920
721549,5700
721548,10260
721546,6420
721545,18900
721543,5400
721542,6720
721541,9360
721540,8220
721539,26700
721538,9480
721537,9660
721536,7920
721535,4680
721534,22440
721533,6420
721531,7560
721530,1200
721529,360
721528,960
721525,360
721523,960
721521,960
721519,360
721518,360
721517,1560
721516,120
721514,9180
721513,2760
721509,7620
721508,8700
721506,10920
721505,9060
721504,5400
721503,7500
721502,10380
721501,9660
721500,9660
721499,9300
721498,10680
721497,7260
721496,8700
721495,16800
721494,9540
721491,8880
721490,8220
721489,7920
721488,15600
721487,4200
721486,6060
721485,6060
721484,6060
721483,6060
721482,6060
721481,6060
721480,7560
721479,4560
721478,5160
721477,27180
721475,11400
721474,26880
721473,12060
721472,10200
721471,3120
721470,10200
721469,8880
721468,6180
721466,6420
721465,7140
721464,6240
721463,7740
721462,7740
721461,24960
721460,7860
721459,7860
721458,5220
721457,9480
721456,10980
721454,7980
721453,9600
721451,8820
721449,6180
721448,4320
721447,4320
721446,8460
721445,27480
721443,2700
721441,5040
721440,6360
721439,1320
721438,9420
721437,7740
721436,780
721435,1380
721433,5040
721432,1080
721430,5880
721429,6420
721426,1080
721425,240
721423,240
721422,240
721421,900
721420,900
721419,1380
721418,7440
721417,10560
721416,9780
721415,9780
721414,9780
721413,7740
